
步骤0	当前分析栈:main{AU}#	剩余符号：main{inti;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤122	当前分析栈:@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:3<ji#
步骤123	当前分析栈:@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:T2i#
步骤124	当前分析栈:;Q){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤125	当前分析栈:Q){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤126	当前分析栈:@ASS_QidO){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤127	当前分析栈:idO){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤128	当前分析栈:O){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤129	当前分析栈:@SINGLE_OP++){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤130	当前分析栈:++){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤131	当前分析栈:){U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤132	当前分析栈:{U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：{writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤133	当前分析栈:U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤134	当前分析栈:U'U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤135	当前分析栈:BU@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤136	当前分析栈:writeE';U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤137	当前分析栈:E';U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤138	当前分析栈:L@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤139	当前分析栈:TL'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤140	当前分析栈:FT'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤141	当前分析栈:@ASS_FidT'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤142	当前分析栈:idT'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：j;}}for(k=9;k>=0;k--){writek;}}#	语义栈:jji#
步骤143	当前分析栈:T'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}for(k=9;k>=0;k--){writek;}}#	语义栈:jji#
步骤144	当前分析栈:@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}for(k=9;k>=0;k--){writek;}}#	语义栈:jji#
步骤145	当前分析栈:L'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}for(k=9;k>=0;k--){writek;}}#	语义栈:jji#
步骤146	当前分析栈:@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}for(k=9;k>=0;k--){writek;}}#	语义栈:jji#
步骤147	当前分析栈:@WRITE;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}for(k=9;k>=0;k--){writek;}}#	语义栈:jji#
步骤148	当前分析栈:;U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤149	当前分析栈:U@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤150	当前分析栈:@SINGLE}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}}for(k=9;k>=0;k--){writek;}}#	语义栈:ji#
步骤151	当前分析栈:}@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤152	当前分析栈:@FOR_RJ@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤153	当前分析栈:@FOR_BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤154	当前分析栈:U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤155	当前分析栈:@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}for(k=9;k>=0;k--){writek;}}#	语义栈:i#
步骤156	当前分析栈:}@FOR_RJ@FOR_BU}#	剩余符号：}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤157	当前分析栈:@FOR_RJ@FOR_BU}#	剩余符号：for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤158	当前分析栈:@FOR_BU}#	剩余符号：for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤159	当前分析栈:U}#	剩余符号：for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤160	当前分析栈:U'U}#	剩余符号：for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤161	当前分析栈:BU}#	剩余符号：for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤162	当前分析栈:for(RG@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤163	当前分析栈:(RG@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤164	当前分析栈:RG@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k=9;k>=0;k--){writek;}}#	语义栈:#
步骤165	当前分析栈:@ASS_Rid=L@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k=9;k>=0;k--){writek;}}#	语义栈:#
步骤166	当前分析栈:id=L@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k=9;k>=0;k--){writek;}}#	语义栈:k#
步骤167	当前分析栈:=L@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：=9;k>=0;k--){writek;}}#	语义栈:k#
步骤168	当前分析栈:L@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：9;k>=0;k--){writek;}}#	语义栈:k#
步骤169	当前分析栈:TL'@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：9;k>=0;k--){writek;}}#	语义栈:k#
步骤170	当前分析栈:FT'@DMML'@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：9;k>=0;k--){writek;}}#	语义栈:k#
步骤171	当前分析栈:@ASS_FnumT'@DMML'@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：9;k>=0;k--){writek;}}#	语义栈:k#
步骤172	当前分析栈:numT'@DMML'@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：9;k>=0;k--){writek;}}#	语义栈:9k#
步骤173	当前分析栈:T'@DMML'@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k>=0;k--){writek;}}#	语义栈:9k#
步骤174	当前分析栈:@DMML'@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k>=0;k--){writek;}}#	语义栈:9k#
步骤175	当前分析栈:L'@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k>=0;k--){writek;}}#	语义栈:9k#
步骤176	当前分析栈:@AS@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k>=0;k--){writek;}}#	语义栈:9k#
步骤177	当前分析栈:@EQ;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k>=0;k--){writek;}}#	语义栈:9k#
步骤178	当前分析栈:;G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k>=0;k--){writek;}}#	语义栈:#
步骤179	当前分析栈:G@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k>=0;k--){writek;}}#	语义栈:#
步骤180	当前分析栈:LDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k>=0;k--){writek;}}#	语义栈:#
步骤181	当前分析栈:TL'@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k>=0;k--){writek;}}#	语义栈:#
步骤182	当前分析栈:FT'@DMML'@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k>=0;k--){writek;}}#	语义栈:#
步骤183	当前分析栈:@ASS_FidT'@DMML'@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k>=0;k--){writek;}}#	语义栈:#
步骤184	当前分析栈:idT'@DMML'@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k>=0;k--){writek;}}#	语义栈:k#
步骤185	当前分析栈:T'@DMML'@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：>=0;k--){writek;}}#	语义栈:k#
步骤186	当前分析栈:@DMML'@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：>=0;k--){writek;}}#	语义栈:k#
步骤187	当前分析栈:L'@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：>=0;k--){writek;}}#	语义栈:k#
步骤188	当前分析栈:@ASDL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：>=0;k--){writek;}}#	语义栈:k#
步骤189	当前分析栈:DL@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：>=0;k--){writek;}}#	语义栈:k#
步骤190	当前分析栈:@CP_OP>=L@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：>=0;k--){writek;}}#	语义栈:k#
步骤191	当前分析栈:>=L@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：>=0;k--){writek;}}#	语义栈:>=k#
步骤192	当前分析栈:L@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：0;k--){writek;}}#	语义栈:>=k#
步骤193	当前分析栈:TL'@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：0;k--){writek;}}#	语义栈:>=k#
步骤194	当前分析栈:FT'@DMML'@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：0;k--){writek;}}#	语义栈:>=k#
步骤195	当前分析栈:@ASS_FnumT'@DMML'@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：0;k--){writek;}}#	语义栈:>=k#
步骤196	当前分析栈:numT'@DMML'@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：0;k--){writek;}}#	语义栈:0>=k#
步骤197	当前分析栈:T'@DMML'@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k--){writek;}}#	语义栈:0>=k#
步骤198	当前分析栈:@DMML'@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k--){writek;}}#	语义栈:0>=k#
步骤199	当前分析栈:L'@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k--){writek;}}#	语义栈:0>=k#
步骤200	当前分析栈:@AS@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k--){writek;}}#	语义栈:0>=k#
步骤201	当前分析栈:@CP@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k--){writek;}}#	语义栈:0>=k#
步骤202	当前分析栈:@FOR_FJ;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k--){writek;}}#	语义栈:T3#
步骤203	当前分析栈:;Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;k--){writek;}}#	语义栈:#
步骤204	当前分析栈:Q){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k--){writek;}}#	语义栈:#
步骤205	当前分析栈:@ASS_QidO){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k--){writek;}}#	语义栈:#
步骤206	当前分析栈:idO){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k--){writek;}}#	语义栈:k#
步骤207	当前分析栈:O){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：--){writek;}}#	语义栈:k#
步骤208	当前分析栈:@SINGLE_OP--){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：--){writek;}}#	语义栈:k#
步骤209	当前分析栈:--){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：--){writek;}}#	语义栈:k#
步骤210	当前分析栈:){U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：){writek;}}#	语义栈:k#
步骤211	当前分析栈:{U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：{writek;}}#	语义栈:k#
步骤212	当前分析栈:U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writek;}}#	语义栈:k#
步骤213	当前分析栈:U'U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writek;}}#	语义栈:k#
步骤214	当前分析栈:BU@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writek;}}#	语义栈:k#
步骤215	当前分析栈:writeE';U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：writek;}}#	语义栈:k#
步骤216	当前分析栈:E';U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k;}}#	语义栈:k#
步骤217	当前分析栈:L@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k;}}#	语义栈:k#
步骤218	当前分析栈:TL'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k;}}#	语义栈:k#
步骤219	当前分析栈:FT'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k;}}#	语义栈:k#
步骤220	当前分析栈:@ASS_FidT'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k;}}#	语义栈:k#
步骤221	当前分析栈:idT'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：k;}}#	语义栈:kk#
步骤222	当前分析栈:T'@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}#	语义栈:kk#
步骤223	当前分析栈:@DMML'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}#	语义栈:kk#
步骤224	当前分析栈:L'@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}#	语义栈:kk#
步骤225	当前分析栈:@AS@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}#	语义栈:kk#
步骤226	当前分析栈:@WRITE;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}#	语义栈:kk#
步骤227	当前分析栈:;U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：;}}#	语义栈:k#
步骤228	当前分析栈:U@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}}#	语义栈:k#
步骤229	当前分析栈:@SINGLE}@FOR_RJ@FOR_BU}#	剩余符号：}}#	语义栈:k#
步骤230	当前分析栈:}@FOR_RJ@FOR_BU}#	剩余符号：}}#	语义栈:#
步骤231	当前分析栈:@FOR_RJ@FOR_BU}#	剩余符号：}#	语义栈:#
步骤232	当前分析栈:@FOR_BU}#	剩余符号：}#	语义栈:#
步骤233	当前分析栈:U}#	剩余符号：}#	语义栈:#
步骤234	当前分析栈:}#	剩余符号：}#	语义栈:#
步骤235	当前分析栈:#	剩余符号：#	语义栈:#
步骤236	
当前分析栈:	剩余符号：	语义栈:#
语法分析通过：
